Symbol,name of the company,ISIN number
539354,POLYSPIN EXPORTS LIMITED,INE914G01029
539383,Mahaveer Infoway Limited,INE019D01016
539384,Krishna Capital And Securities Limited,INE897B01019
539391,Acme Resources Limited,INE636B01011
539393,Kabra Commercial Limited,INE926E01010
539398,Vishal Bearings Limited,INE060T01024
539401,Patdiam Jewellery Limited,INE473T01011
539402,Naksh Precious Metals Limited,INE256S01012
539405,Decorous Investment and Trading Co. Ltd.,INE183R01010
539406,Swagtam Trading & Services Limited,INE150R01019
539408,Kuber Udyog Limited,INE594R01018
539409,NEERAJ PAPER MARKETING LIMITED,INE894J01019
539428,Tejnaksh Healthcare Limited,INE030T01027
539434,Brilliant Portfolios Ltd.,INE661F01010
539435,Richfield Financial Services Ltd.,INE201C01012
539449,IGC Industries Limited,INE099S01016
539455,ARYAVAN ENTERPRISE LIMITED,INE360S01012
539468,Typhoon Financial Services Limited,INE761R01013
539469,PANORAMA STUDIOS INTERNATIONAL LIMITED,INE258R01028
539470,Shree Ganesh Biotech (India) Limited,INE051N01026
539479,GTV Engineering Limited,INE910R01024
539480,LIC Mutual Fund,INF767K01OS7
539487,LIC Mutual Fund,INF767K01OT5
539488,Tirupati Fin-Lease Ltd.,INE027S01017
539492,Garbi Finvest Limited,INE721C01019
539494,Smart Finsec Limited,INE766D01020
539495,Rajkot Investment Trust Limited,INE176R01014
539506,Adcon Capital Services Limited,INE805Q01028
539515,Quint Digital Limited,INE641R01017
539516,HDFC Mutual Fund,INF179KC1965
539517,HDFC Mutual Fund,INF179KC1HX2
539518,Uday Jewellery Industries Limited.,INE551B01012
539519,SATTVA SUKUN LIFECARE LIMITED,INE280E01038
539521,Navigant Corporate Advisors Limited,INE364T01012
539522,Grovy India Limited,INE343C01012
539526,Suncare Traders Limited,INE452S01025
539527,Creative Castings Limited,INE146E01015
539528,AAYUSH WELLNESS LIMITED,INE430R01023
539533,ELITECON INTERNATIONAL LIMITED,INE669R01026
539543,Valley Magnesite Company Limited,INE834E01016
539544,Abhishek Infraventures Limited,INE281P01016
539545,Apoorva Leasing Finance & Investment Company Limited,INE217S01014
539546,AGRIBIO SPIRITS LIMITED,INE679E01015
539552,F MEC INTERNATIONAL FINANCIAL SERVICES LIMITED,INE108T01013
539559,Deep Health AI India Limited,INE005G01026
539560,Abhijit Trading Co. Ltd.,INE994N01019
539561,SUPHA PHARMACHEM LIMITED,INE549S01036
539574,Sunshine Capital Ltd.,INE974F01025
539593,Shivansh Finserv Limited,INE728Q01014
539594,Mishtann Foods Limited,INE094S01041
539596,Delta Industrial Resources Limited,INE681Q01015
539598,CREDENT GLOBAL FINANCE LIMITED,INE727C01024
539599,Kotia Enterprises Limited,INE079C01012
539607,Blue Cloud Softech Solutions Limited,INE373T01047
539620,KANORIA ENERGY AND INFRASTRUCTURE LIMITED,INE534E01020
539621,BCL Enterprises Limited,INE368E01023
539659,VIKRAM KAMATS HOSPITALITY LIMITED,INE564S01019
539661,ACE MEN ENGG WORKS LIMITED,INE023R01018
539662,BFL Asset Finvest Limited,INE948Q01018
539669,RGF Capital Markets Limited,INE684D01025
539679,Kapil Raj Finance Ltd.,INE332Q01023
539680,Ganga Pharmaceuticals Limited,INE615T01017
539681,dynamic Archistructures Limited,INE874E01012
539682,Mobavenue AI Tech Limited,INE622Q01019
539683,Shivkamal Impex Limited,INE429R01017
539691,REAL GROWTH CORPORATION LIMITED,INE836D01013
539692,INTERACTIVE FINANCIAL SERVICES LIMITED,INE064T01018
539697,HILIKS TECHNOLOGIES LIMITED,INE966Q01010
539724,HYPERSOFT TECHNOLOGIES LIMITED,INE039D01014
539730,Fredun Pharmaceuticals Limited,INE194R01017
539760,Relicab Cable Manufacturing Limited,INE773T01014
539761,Vantage Knowledge Academy Limited,INE427T01025
539762,MODERN ENGINEERING AND PROJECTS LIMITED,INE250S01015
539767,Mega Nirman & Industries Limited,INE216Q01010
539770,DARJEELING INDUSTRIIES LIMITED,INE830S01014
539773,Advik Capital Limited,INE178T01024
539784,LIC Mutual Fund,INF767K01PC8
539788,Khemani Distributors & Marketing Limited,INE030U01025
539798,Umiya Tubes Limited,INE173U01015
539800,CHD Chemicals Limited,INE043U01010
539814,LE LAVOIR LIMITED,INE204S01012
539819,Mudra Financial Services Ltd.,INE967S01014
539834,Balgopal Commercial limited,INE119R01014
539835,Superior Finlease Limited,INE574R01028
539839,Franklin Leasing and Finance Limited,INE399S01010
539841,Lancer Container Lines Limited,INE359U01028
539864,Ghushine Fintrrade Ocean Limited,INE009U01011
539875,RSD Finance Limited,INE616F01022
539884,Darshan Orna Limited,INE671T01028
539894,Madhav Infra Projects Limited,INE631R01026
539895,SPICE LOUNGE FOOD WORKS LIMITED,INE631E01024
539900,DALMIA INDUSTRIAL DEVELOPMENT LIMITED,INE642P01019
539911,Svarnim Trade Udyog Limited,INE730R01042
539921,Shanti Educational Initiatives Limited,INE440T01028
539922,Rotographics (India) Limited,INE364S01014
539927,LIKHAMI CONSULTING LIMITED,INE920T01011
539938,Medico Intercontinental Limited,INE858Q01019
539939,Yash Chemex Limited,INE571U01010
539945,ICICI Prudential Mutual Fund,INF109KC11V0
539946,Bazel International Limited,INE217E01014
539947,JINDAL LEASEFIN LIMITED,INE919T01013
539956,TAAL TECH LIMITED,INE524T01011
539963,Zeal Aqua Limited,INE819S01025
539980,ICICI Prudential Mutual Fund,INF109KC10W0
539983,SIDH AUTOMOBILES LIMITED,INE403L01015
539984,HINDUSTHAN INSULATORS and INDUSTRIES LIMITED,INE799B01025
539985,Titaanium Ten Enterprise Limited,INE120V01014
539991,CONFIDENCE FUTURISTIC ENERGETECH LIMITED,INE700F01024
539997,Kwality Pharmaceuticals Limited,INE552U01010
540006,EAST WEST FREIGHT CARRIERS LTD,INE595R01023
540008,Aditya Birla Sun Life Mutual Fund,INF209KB10E8
540023,COLORCHIPS NEW MEDIA LIMITED,INE621I01042
540026,Ladam Affortable Housing Limited,INE213U01019
540062,Golden Crest Education & Services Limited,INE222U01010
540066,AMS POLYMERS LIMITED,INE345U01019
540072,Shiva Granito Export Limited,INE191V01015
540078,Mitsu Chem Plast Limited,INE317V01016
540079,Sprayking Limited,INE537U01037
540080,Dhatre Udyog Limited,INE715T01031
540082,Riddhi Steel and Tube Limited,INE367U01013
540097,GAMCO LIMITED,INE890S01026
540108,TIAAN CONSUMER LIMITED,INE864T01011
540132,Sabrimala Industries India Limited,INE400R01018
540134,ISHAAN INFRASTRUCTURE AND SHELTERS LIMITED,INE818R01011
540135,ARC Finance Limited,INE202R01026
540143,Sagarsoft (India) Limited,INE184B01012
540144,DRA CONSULTANTS LIMITED,INE746V01016
540146,ADITYA CONSUMER MARKETING LIMITED,INE427V01013
540147,Shashijit Infraprojects Limited,INE700V01021
540148,Bindal Exports Limited,INE564V01013
540150,Mewar Hi-Tech Engineering Limited,INE957U01011
540151,Diksat Transworld Limited,INE942P01013
540154,Bandhan Mutual Fund,INF194KA1T91
540159,PURPLE AGROTECH INDUSTRIES LIMITED,INE905R01016
540168,Supra Pacific Financial Services Limited,INE268T01015
540174,SOUTHERN INFOCONSULTANTS LIMITED,INE298B01010
540175,REGENCY FINCORP LIMITED,INE964R01013
540181,Salem Erode Investments Ltd.,INE894E01028
540189,Unipro Technologies Limited,INE448F01012
540190,Franklin Industries Limited,INE789R01022
540192,LKP Securities Limited,INE341H01023
540198,OSIAJEE TEXFAB LIMITED,INE186R01013
540199,Corporate Merchant Bankers Limited,INE850R01014
540204,EIKO LIFESCIENCES LIMITED,INE666Q01016
540221,Shashank Traders Limited,INE508R01018
540243,NEW LIGHT INDUSTRIES LIMITED,INE835U01027
540252,Viram Suvarn Limited,INE607V01028
540254,MARG TECHNO PROJECTS LIMITED,INE245H01018
540259,SHANGAR DECOR LIMITED,INE118R01032
540266,Globe Commercials Limited,INE804Q01013
540267,Flora Corporation Limited,INE318U01016
540269,SUPER FINE KNITTERS LIMITED,INE459U01018
540270,Raideep Industries Limited,INE923R01019
540318,Sueryaa Knitwear Limited,INE249U01013
540332,Tanvi Foods (India) Limited,INE978V01015
540358,RMC SWITCHGEARS LIMITED,INE655V01019
540359,Parmax Pharma Limited,INE240T01014
540360,LEADING LEASING FINANCE AND INVESTMENT CO. LIMITED,INE715Q01029
540361,DANUBE INDUSTRIES LIMITED,INE575D01041
540377,IFL ENTERPRISES LIMITED,INE714U01024
540386,Ontic Finserve Limited,INE989S01042
540395,Chemcrux Enterprises Limited,INE298W01016
540401,Maximus International Limited,INE544W01021
540402,Manas Properties Limited,INE800W01019
540404,PRIME FRESH LIMITED,INE442V01012
540405,Oceanic Foods Limited,INE711V01010
540416,Octaware Technologies Limited,INE208U01019
540455,Escorp Asset Management Limited,INE953W01016
540467,PARMESHWARI SILK MILLS LIMITED,INE808R01012
540468,KMS Medisurgi Limited,INE870V01014
540481,Classic Leasing & Finance Ltd.,INE949C01016
540492,STARLINEPS ENTERPRISES LIMITED,INE594W01042
540515,KANUNGO FINANCIERS LIMITED,INE453S01015
540519,Meera Industries Limited,INE343X01026
540545,GURU KRUPA GEMS AND JEWELLERY LIMITED,INE986W01016
540550,Yug Decor Limited,INE796W01019
540570,VARIMAN GLOBAL ENTERPRISES LIMITED,INE717F01028
540590,Riddhi Corporate Services Limited,INE325X01015
540597,Containerway International Limited,INE319U01022
540612,ICICI Prudential Mutual Fund,INF109KC19U5
540613,Gautam Exim Limited,INE721X01015
540614,G G Engineering Limited,INE694X01030
540615,7NR Retail Limited,INE413X01035
540651,Jigar Cables Limited,INE943X01015
540652,Captain Technocast Limited,INE931X01010
540654,GlobalSpace Technologies Limited,INE632W01016
540669,UTI Mutual Fund,INF789F1AUW9
540681,CHOTHANI FOODS LIMITED,INE344X01016
540686,Smruthi Organics Limited,INE172E01011
540693,Shish Industries Limited,INE145Y01023
540694,ANG Lifesciences India Limited,INE236W01016
540696,KCD INDUSTRIES INDIA LIMITED,INE185U01035
540703,PRO CLB GLOBAL LIMITED,INE438C01010
540717,Polo Queen Industrial and Fintech Limited,INE689M01025
540718,AAYUSH ART AND BULLION LIMITED,INE777X01017
540726,Trident Texofab Limited,INE071Y01013
540727,Poojawestern Metaliks Limited,INE973X01012
540728,Sayaji Industries Limited,INE327G01032
540729,Vanta Bioscience Limited,INE695X01011
540730,Mehai Technology  Limited,INE062Y01020
540737,Shree Ganesh Remedies Limited,INE414Y01015
540738,Shreeji Translogistics Limited,INE402Y01028
540756,Kaarya Facilities and Services Limited,INE282Y01016
540782,Sanghvi Brands Limited,INE204Y01010
540786,SHARIKA ENTERPRISES LIMITED,INE669Y01022
540787,ICICI Prudential Mutual Fund,INF109KB15Y7
540788,Aspira Pathlab & Diagnostics Limited,INE500C01017
540796,Ratnabhumi Developers Limited,INE821Y01011
540809,MRC AGROTECH LIMITED,INE333Y01017
540811,Diggi Multitrade Limited,INE158R01012
540821,CRYSTAL BUSINESS SYSTEM LIMITED,INE994R01028
540829,Chandrima Mercantiles limited,INE371F01024
540843,Rithwik Facility Management Services Limited,INE819Y01015
540850,Jhandewalas Foods Limited,INE841Y01019
540874,7SEAS ENTERTAINMENT LIMITED,INE454F01010
540904,TIRUPATI FOAM LIMITED,INE115G01015
540914,SRU Steels Limited,INE425C01017
540936,Gautam Gems Limited,INE063Z01017
540938,Gujarat Hy-Spin Limited,INE578V01013
540953,Kenvi Jewels Limited,INE923Y01023
540954,The Indian Wood Products Co. Ltd.,INE586E01020
540955,Tasty Dairy Specialities Limited,INE773Y01014
540956,Bhatia Communications & Retail (India) Limited,INE341Z01025
540980,The Yamuna Syndicate Ltd,INE868X01014
541005,KANCO TEA & INDUSTRIES LIMITED,INE398L01017
541006,Angel Fibers Limited,INE339Z01011
541083,Inflame Appliances Limited,INE464Z01017
541096,Bharat Parenterals Limited,INE365Y01019
541112,Shreeshay Engineers Limited,INE452Z01012
541133,APEX CAPITAL AND FINANCE LIMITED,INE758W01019
541144,Active Clothing Co  Limited,INE380Z01015
541178,Benara Bearings and Pistons Limited,INE495Z01011
541196,Lex Nimble Solutions Limited,INE860Y01019
541228,Taylormade Renewables Limited,INE459Z01017
541299,DR LALCHANDANI LABS LIMITED,INE871Z01013
541313,ICICI Prudential Mutual Fund,INF109KC1V59
541337,Milestone Furniture Limited,INE424Z01011
541338,U. H. ZAVERI LIMITED,INE556Z01010
541347,Parvati Sweetners and Power Ltd.,INE295Z01015
541353,Innovators Facade Systems Limited,INE870Z01015
541358,UNIFINZ CAPITAL INDIA LIMITED,INE926R01012
541444,Palm Jewels Limited,INE838Z01012
541445,Waa Solar Limited,INE799N01012
541503,Unick Fix-A- Form and Printers Limited,INE250G01010
541601,Rajnish Wellness Limited,INE685Z01033
541627,Gujarat Winding Systems Limited,INE173V01013
541633,Sophia Traexpo Limited,INE268X01017
541634,Raw Edge Industrial Solutions Limited,INE960Z01014
541701,Supershakti Metaliks Limited,INE00SY01011
541702,Ashnisha Industries Limited,INE694W01024
541703,RACONTEUR GLOBAL RESOURCES LIMITED,INE00WY01013
541735,Vivanta Industries Limited,INE299W01022
541741,Fratelli Vineyards Limited,INE401Z01019
541771,AMIN TANNERY LIMITED,INE572Z01017
541778,Deep Polymers Limited,INE00IY01012
541799,Sungold Media and Entertainment Limited,INE266S01011
541809,ICICI Prudential Mutual Fund,INF109KC1NS5
541865,Add-Shop E-Retail Limited,INE01B501018
541890,Space Incubatrics Technologies Limited,INE797Z01028
541945,Ranjeet Mechatronics Limited,INE01A501027
541972,SBI Mutual Fund,INF200KA1VQ2
541973,Mac Hotels Limited,INE004Z01011
541983,Innovative Ideals and Services (India) Limited,INE492Y01011
542012,A-1 LIMITED,INE911Z01025
542013,Dolfin Rubbers Limited,INE666Y01010
542019,Shubham Polyspin Limited,INE01J501010
542025,Sun Retail Limited,INE206Z01020
542034,S. M. Gold Limited,INE00Q901014
542046,VIVID MERCANTILE LIMITED,INE647Z01025
542057,BCPL Railway Infrastructure Limited,INE00SW01015
542123,The Phosphate Company Limited,INE398C01016
542131,Mirae Asset Mutual Fund,INF769K01EG9
542145,Roni Households Limited,INE02AP01013
542146,Shree Krishna Infrastructure Limited,INE951Z01013
542155,Diksha Greens Limited,INE01GR01018
542176,Aryan Share & Stock Brokers Ltd.,INE016X01010
542206,NIVAKA FASHIONS LIMITED,INE139E01028
542230,Aditya Birla Sun Life Mutual Fund,INF209KB16D7
542248,Deccan Health Care Limited,INE452W01019
542332,Hi-Klass Trading and Investment Limited,INE302R01024
542376,SPA Capital Services Limited,INE726X01014
542446,Jonjua Overseas Limited,INE793Z01027
542459,Kranti Industries Limited,INE911T01010
542477,GLAAM UP JWEL LIMITED,INE03CM01014
542503,Mahip Industries Limited,INE00CX01017
542513,UTI Mutual Fund,INF789F1AUU3
542544,Jyot International Marketing Limited,INE043R01016
542579,Ashapuri Gold Ornament Limited,INE05FR01029
542592,Humming Bird Education Limited,INE02PC01027
542599,Roopshri Resorts Limited,INE03WT01017
542627,Chandni Machines Limited,INE01GZ01011
542628,Northern Spirits Limited,INE01BL01012
542654,V R FILMS & STUDIOS LIMITED,INE06LG01010
542666,G. K. P. Printing & Packaging Limited,INE05QJ01015
542668,EVANS ELECTRIC LIMITED,INE06TD01010
542669,BMW INDUSTRIES LIMITED,INE374E01021
542678,Cian Healthcare Limited,INE05BN01027
542679,Dhanashree Electronics Limited,INE413F01016
542682,Harish Textile Engineers Limited,INE01K301012
542694,Parshva Enterprises Limited,INE05MV01019
542721,Anand Rayons Limited,INE02GA01012
542727,CITY PULSE MULTIVENTURES LIMITED,INE056001014
542728,SK International Export Limited,INE04ST01013
542730,ICICI Prudential Mutual Fund,INF109KC15I8
542747,Nippon India Mutual Fund,INF204KB15D0
542758,ICICI Prudential Mutual Fund,INF109KC18U7
542765,Transpact Enterprises Limited,INE06YD01010
542770,Alphalogic Techsys Limited,INE08E401029
542771,Novateor Research Laboratories Limited,INE08JY01013
542801,Misquita Engineering Limited,INE957W01025
542802,Galactico Corporate Services Limited,INE906Y01028
542803,Vaxfab Enterprises Limited,INE560T01015
542850,GOBLIN INDIA LIMITED,INE492Z01018
542851,Gensol Engineering Limited,INE06H201014
542862,Shahlon Silk Industries Limited,INE052001026
542863,Aditya Birla Sun Life Mutual Fund,INF209KB17D5
542864,MOUNT HOUSING AND INFRASTRUCTURE LIMITED,INE444X01014
542865,Anuroop Packaging Limited,INE490Z01012
542906,Easun Capital Markets Limited,INE771C01014
542910,Valencia Nutrition Limited,INE08RT01016
542911,Assam Entrade Limited,INE165G01010
542918,Gian Life Care Limited,INE063601012
542921,ICICI Prudential Mutual Fund,INF109KC11W8
542922,Mirae Asset Mutual Fund,INF769K01FN2
542923,TRANWAY21 TECHNOLOGIES LIMITED,INE0BIW01023
542931,Vardhan Capital & Finance Limited,INE128G01018
542934,Chandra Bhagat Pharma Limited,INE07QQ01016
542938,Octavius Plantations Limited,INE117S01016
543065,SM Auto Stamping Limited,INE0C4I01011
543144,Nippon India Mutual Fund,INF204KB11T5
543145,Nippon India Mutual Fund,INF204KB12S5
543146,Nippon India Mutual Fund,INF204KB12T3
543147,Nippon India Mutual Fund,INF204KB13S3
543148,Nippon India Mutual Fund,INF204KB14S1
543149,Nippon India Mutual Fund,INF204KB15S8
543150,Nippon India Mutual Fund,INF204KB16S6
543151,Nippon India Mutual Fund,INF204KB17R6
543152,Nippon India Mutual Fund,INF204KB17S4
543153,Nippon India Mutual Fund,INF204KB18R4
543154,Nippon India Mutual Fund,INF204KB18S2
543155,Nippon India Mutual Fund,INF204KB19R2
543156,Nippon India Mutual Fund,INF204KB19S0
543168,Nippon India Mutual Fund,INF204KB10S9
543169,Nippon India Mutual Fund,INF204KB10T7
543170,Nippon India Mutual Fund,INF204KB11S7
543171,RO Jewels Limited,INE0BDU01028
543172,Cospower Engineering Limited,INE0CQB01010
543173,Nippon India Mutual Fund,INF204KB14U7
543174,Nippon India Mutual Fund,INF204KB10U5
543175,Nippon India Mutual Fund,INF204KB15U4
543176,Nippon India Mutual Fund,INF204KB16U2
543177,Nippon India Mutual Fund,INF204KB11U3
543178,Nippon India Mutual Fund,INF204KB12U1
543179,Nippon India Mutual Fund,INF204KB16T4
543180,Nippon India Mutual Fund,INF204KB17T2
543181,Nippon India Mutual Fund,INF204KB13T1
543182,Nippon India Mutual Fund,INF204KB18T0
543183,Nippon India Mutual Fund,INF204KB19T8
543184,Nippon India Mutual Fund,INF204KB14T9
543185,Nippon India Mutual Fund,INF204KB15T6
543186,Nippon India Mutual Fund,INF204KB13U9
543194,Nirmitee Robotics India Limited,INE0CPQ01010
543207,Natural Biocon (India) Limited,INE06MM01016
543208,REGIS INDUSTRIES LIMITED,INE745R01024
543209,Billwin Industries Limited,INE0CRS01012
543219,ICICI Prudential Mutual Fund,INF109KC17V7
543221,ICICI Prudential Mutual Fund,INF109KC16I6
543224,HDFC Mutual Fund,INF179KC1HY0
543226,UTI Mutual Fund,INF789F1AUV1
543229,Samrat Forgings Limited,INE412J01010
543239,G M Polyplast Limited,INE0E2801015
543241,Veer Global Infraconstruction Limited,INE244W01010
543244,Shine Fashions (India) Limited,INE0BLY01023
543246,Mirae Asset Mutual Fund,INF769K01GS9
543247,Net Pix Shorts Digital Media Limited,INE0D5F01013
543255,Nippon India Mutual Fund,INF732E01268
543256,RITA FINANCE AND LEASING LIMITED,INE018S01016
543262,MRP Agro Limited,INE0D7801012
543282,Niks Technology Limited,INE0GX601011
543284,EKI Energy Services Limited,INE0CPR01018
543285,Rajeshwari Cans Limited,INE0CQ101015
543286,Jetmall Spices and Masala Limited,INE0D9X01018
543289,Kuberan Global Edu Solutions Limited,INE04CO01018
543291,Mirae Asset Mutual Fund,INF769K01HF4
543292,ICICI Prudential Mutual Fund,INF109KC1Q72
543309,Adeshwar Meditex Limited,INE0H8J01015
543310,Times Green Energy (India) Limited,INE0B6101012
543312,Focus Business Solution Limited,INE0DXR01010
543319,AA Plus Tradelink Limited,INE0C5901022
543323,Mirae Asset Mutual Fund,INF769K01HI8
543326,ICICI Prudential Mutual Fund,INF109KC19V3
543341,SHARPLINE BROADCAST LIMITED,INE647W01014
543346,Aashka Hospitals Limited,INE0EAX01014
543347,Axis Mutual Fund,INF846K01Y96
543348,Axis Mutual Fund,INF846K01Z12
543351,Naapbooks Limited,INE0GOA01018
543352,PlatinumOne Business Services Limited,INE0DTJ01015
543357,Axis Mutual Fund,INF846K016C7
543363,Prevest Denpro Limited,INE0GAO01018
543365,Mirae Asset Mutual Fund,INF769K01HP3
543366,SBL Infratech Limited,INE0DLM01024
543372,Getalong Enterprise Limited,INE0H1201020
543373,Shri Venkatesh Refineries Limited,INE0HLJ01013
543375,Promax Power Limited,INE0I2F01015
543376,Samor Reality Limited,INE0GD201014
543377,Adishakti Loha and Ispat Limited,INE0CWK01019
543378,CWD Limited,INE0H8H01019
543383,ICICI Prudential Mutual Fund,INF109KC1V42
543388,DSP Mutual Fund,INF740KA1QK2
543391,Suyog Gurbaxani Funicular Ropeways Limited,INE07GA01011
543400,Omnipotent Industries Limited,INE0JFE01012
543410,DMR ENGINEERING LIMITED,INE07L501010
543414,Mirae Asset Mutual Fund,INF769K01HS7
543435,CLARA INDUSTRIES LIMITED,INE0JJS01014
543436,Wherrelz IT Solutions Limited,INE0IM001015
543437,Motilal Oswal Mutual Fund,INF247L01AU3
543438,DSP Mutual Fund,INF740KA1QL0
543440,DSP Mutual Fund,INF740KA1CL0
543443,Ascensive Educare Limited,INE0E4I01027
543444,FABINO ENTERPRISES LIMITED,INE0DRT01018
543450,ICICI Prudential Mutual Fund,INF109KC10V2
543453,ALKOSIGN LIMITED,INE0KA601012
543454,Mirae Asset Mutual Fund,INF769K01IB1
543460,Quality RO Industries Limited,INE0KAF01018
543461,Safa Systems & Technologies Limited,INE0JNA01014
543464,Maruti Interior Products Limited,INE0JSJ01014
543465,Motilal Oswal Mutual Fund,INF247L01BK2
543472,Aditya Birla Sun Life Mutual Fund,INF209KB11D8
543473,Aditya Birla Sun Life Mutual Fund,INF209KB10C2
543474,Aditya Birla Sun Life Mutual Fund,INF209KB19D1
543475,Ekennis Software Service Limited,INE0KCM01010
543481,Mirae Asset Mutual Fund,INF769K01IC9
543497,Bhatia Colour Chem Limited,INE0KQ001017
543499,Achyut Healthcare Limited,INE0K1401020
543500,Evoq Remedies Limited,INE0JVD01011
543501,Motilal Oswal Mutual Fund,INF247L01BL0
543515,Sunrise Efficient Marketing Limited,INE0KPY01017
543516,DHYAANI TRADEVENTTURES LIMITED,INE0K5F01014
543518,Eighty Jewellers Limited,INE0KSN01014
543519,Shashwat Furnishing Solutions Limited,INE0JMN01019
543520,Global Longlife Hospital and Research Limited,INE0J2K01014
543521,Fone4 Communications (India) Limited,INE0L3H01014
543522,Nanavati Ventures Limited,INE0E5R01017
543531,Tierra Agrotech Limited,INE05CY01014
543536,Silver Pearl Hospitality & Luxury Spaces Limited,INE0KXN01014
543537,Scarnose International Limited,INE0IXR01019
543538,Goel Food Products Limited,INE0K6L01010
543540,Pearl Green Clubs and Resorts Limited,INE0GTX01019
543541,SAILANI TOURS N TRAVELS LIMITED,INE0KHQ01010
543542,KESAR INDIA LIMITED,INE0L1C01019
543543,B-RIGHT REALESTATE LIMITED,INE0IZQ01016
543544,JAYANT INFRATECH LIMITED,INE0KR801019
543545,Veerkrupa Jewellers Limited,INE0ID001024
543546,HEALTHY LIFE AGRITEC LIMITED,INE0L3501015
543563,Motilal Oswal Mutual Fund,INF247L01BB1
543568,ICICI Prudential Mutual Fund,INF109KC17C7
543569,HDFC Mutual Fund,INF179KC1HR4
543570,HDFC Mutual Fund,INF179KC1HS2
543571,ICICI Prudential Mutual Fund,INF109KC16E5
543574,Aditya Birla Sun Life Mutual Fund,INF209KB15K4
543575,Aditya Birla Sun Life Mutual Fund,INF209KB14K7
543576,Motilal Oswal Mutual Fund,INF247L01BE5
543577,Motilal Oswal Mutual Fund,INF247L01BH8
543578,Olatech Solutions Limited,INE0M3901015
543594,DIPNA PHARMACHEM LIMITED,INE0MC401013
543595,EP BIOCOMPOSITES LIMITED,INE0D2I01014
543597,Virtuoso Optoelectronics Limited,INE0I0T01010
543598,SHANTIDOOT INFRA SERVICES LIMITED,INE0LU301014
543605,HDFC Mutual Fund,INF179KC1DL6
543606,CONTAINE TECHNOLOGIES LIMITED,INE0M8901010
543607,HDFC Mutual Fund,INF179KC1DJ0
543608,HDFC Mutual Fund,INF179KC1DK8
543613,MAFIA TRENDS LIMITED,INE0KQQ01011
543615,SILICON RENTAL SOLUTIONS LIMITED,INE0MNV01014
543616,Trident Lifeline Limited,INE0MKA01014
543617,REETECH INTERNATIONAL LIMITED,INE0MKO01015
543618,Cargotrans Maritime Limited,INE0M4L01013
543619,Concord Control Systems Limited,INE0N0J01014
543621,Cargosol Logistics Limited,INE0KZM01011
543622,STEELMAN TELECOM LIMITED,INE0MSK01016
543623,VEDANT ASSET LIMITED,INE0NC801013
543627,HDFC Mutual Fund,INF179KC1HU8
543628,HDFC Mutual Fund,INF179KC1HV6
543637,PACE E-COMMERCE VENTURES LIMITED,INE0N1L01018
543651,DAPS ADVERTISING LIMITED,INE975Z01012
543656,Technopack Polymers Limited,INE0MXP01015
543665,HDFC Mutual Fund,INF179KC1IA8
543666,HDFC Mutual Fund,INF179KC1HZ7
543677,ICICI Prudential Mutual Fund,INF109KC17L8
543678,AMBO AGRITEC LIMITED,INE0N6V01016
543709,PNGS GARGI FASHION JEWELLERY LIMITED,INE0NT601018
543710,ICICI Prudential Mutual Fund,INF109KC19O8
543713,Droneacharya Aerial Innovations Limited,INE0MQD01015
543737,Aveer Foods Limited,INE09BN01011
543738,DSP Mutual Fund,INF740KA1RX3
543744,Rex Sealing and Packing Industries Limited,INE0MFT01014
543745,SVS VENTURES LIMITED,INE0MID01012
543746,LOGICA INFOWAY LIMITED,INE0BSU01018
543753,DHARNI CAPITAL SERVICES LIMITED,INE0M9Q01011
543754,TRANSVOY LOGISTICS INDIA LIMITED,INE0MPU01011
543765,Earthstahl & Alloys Limited,INE0O4V01010
543766,Ashika Credit Capital Ltd.,INE094B01013
543769,INDONG TEA COMPANY LIMITED,INE0KN201016
543774,HDFC Mutual Fund,INF179KC1EZ4
543775,HDFC Mutual Fund,INF179KC1FB2
543776,HDFC Mutual Fund,INF179KC1HT0
543782,Sealmatic India Limited,INE0O4601016
543787,Macfos Limited,INE0OLH01013
543798,Patron Exim Limited,INE0NPA01011
543799,S.V.J.ENTERPRISES LIMITED,INE0JZS01010
543804,AMANAYA VENTURES LIMITED,INE0G1V01016
543805,RESGEN LIMITED,INE0NYN01016
543806,ITCONS E-Solutions Limited,INE0O6A01019
543814,PROSPECT CONSUMER PRODUCTS LIMITED,INE0OKG01017
543819,ICICI Prudential Mutual Fund,INF109KC10S8
543828,SUDARSHAN PHARMA INDUSTRIES LIMITED,INE00TV01023
543830,LABELKRAFT TECHNOLOGIES LIMITED,INE0NLJ01011
543831,Bright Outdoor Media Limited,INE0OMI01019
543843,Command Polymers Limited,INE0LKQ01012
543848,Dev Labtech Venture Limited,INE0NIJ01017
543853,Axis Mutual Fund,INF846K010Q0
543858,Mirae Asset Mutual Fund,INF769K01JU9
543860,J.A. Finance Limited,INE825B01010
543874,Maiden Forgings Limited,INE0O1T01010
543895,Exhicon Events Media Solutions Limited,INE0O8901016
543897,Sancode Technologies Limited,INE0P7001013
543902,Retina Paints Limited,INE0NTC01019
543905,INNOKAIZ INDIA LIMITED,INE0LDI01022
543914,Swati Projects Limited,INE210F01016
543916,Hemant Surgical Industries Limited,INE0GYI01028
543920,CFF FLUID CONTROL LIMITED,INE0NJ001013
543921,Comrade Appliances Limited,INE0NXA01015
543924,Sonalis Consumer Products Limited,INE0N5O01013
543926,Bizotic Commercial Limited,INE0OJ401014
